Time,P(ex),S,SB
106,6.8782e-112,0.606226,0.188403
211,7.19335e-112,0.0157125,0.188403
317,7.52615e-112,0.934866,0.188375
422,7.87099e-112,0.279272,0.188375
527,8.23163e-112,0.119926,0.188375
632,8.60879e-112,0.250906,0.250906
737,9.00323e-112,0.210636,0.250906
843,9.41977e-112,0.207672,0.250906
948,9.85137e-112,0.207998,0.250906
1054,1.03071e-111,0.954604,0.250896
1159,1.07794e-111,0.105919,0.250896
1265,1.12781e-111,0.802282,0.250896
1370,1.17949e-111,0.60628,0.250896
1475,1.23353e-111,0.249654,0.250896
1580,1.29005e-111,0.939084,0.250896
1685,1.34916e-111,0.567487,0.250896
1791,1.41157e-111,0.59874,0.250896
1896,1.47625e-111,0.772123,0.250848
2001,1.54389e-111,0.843503,0.250848
2106,1.61463e-111,0.277623,0.250848
2211,1.68861e-111,0.738351,0.250848
2316,1.76598e-111,0.0789145,0.250848
2421,1.84689e-111,0.600414,0.250848
2527,1.93234e-111,0.566369,0.250848
2632,2.02088e-111,0.902275,0.250848
2738,2.11437e-111,0.864384,0.250848
2843,2.21125e-111,0.907229,0.250848
2948,2.31257e-111,0.368131,0.250848
3053,2.41853e-111,0.87346,0.250848
3160,2.5315e-111,0.114795,0.250848
3267,2.64975e-111,0.923001,0.250848
3372,2.77116e-111,0.633375,0.250848
3477,2.89813e-111,0.920739,0.250848
3582,3.03092e-111,0.994444,0.250848
3695,3.18063e-111,0.611859,0.250848
3800,3.32636e-111,0.126755,0.250848
3905,3.47877e-111,0.925605,0.250848
4011,3.63971e-111,0.683446,0.250848
4117,3.80811e-111,0.298467,0.250848
4222,3.98259e-111,0.535996,0.250848
4327,4.16507e-111,0.965601,0.250848
4432,4.3559e-111,0.186297,0.250848
4537,4.55548e-111,0.0082789,0.250848
4642,4.76421e-111,0.838262,0.250848
4747,4.9825e-111,0.350539,0.250848
4852,5.21079e-111,0.783463,0.250848
4957,5.44954e-111,0.46284,0.250848
5062,5.69924e-111,0.409509,0.250848
5167,5.96037e-111,0.25016,0.250848
5272,6.23346e-111,0.317968,0.250848
5373,6.54695e-111,0.0348614,0.250848
5478,6.80614e-111,0.0224887,0.250848
5583,7.11799e-111,0.272268,0.250848
5688,7.44413e-111,0.578764,0.250848
5800,7.80849e-111,0.144371,0.250848
5905,8.16627e-111,0.347254,0.250848
6010,8.54044e-111,0.755601,0.250848
6117,8.93937e-111,0.683055,0.250848
6222,9.34896e-111,0.957754,0.250848
6327,9.77732e-111,0.241093,0.250848
6432,1.02253e-110,0.81983,0.250848
6537,1.06938e-110,0.544805,0.250848
6642,1.11838e-110,0.4131,0.250848
6744,1.16813e-110,0.201262,0.250848
6850,1.22217e-110,0.273815,0.250848
6957,1.27926e-110,0.659611,0.250848
7062,1.33787e-110,0.30903,0.250848
7167,1.39917e-110,0.885338,0.250848
7273,1.4639e-110,0.42894,0.250848
7378,1.53098e-110,0.850429,0.250848
7483,1.60113e-110,0.369361,0.250848
7588,1.67449e-110,0.200506,0.250848
7693,1.75121e-110,0.198522,0.250848
7798,1.83145e-110,0.557008,0.250848
7903,1.91536e-110,0.364209,0.250848
8008,2.00312e-110,0.145937,0.250848
8117,2.09848e-110,0.498783,0.250848
8222,2.19463e-110,0.0848219,0.250848
8327,2.29519e-110,0.230777,0.250848
8432,2.40035e-110,0.942679,0.250848
8537,2.51033e-110,0.559905,0.250848
8642,2.62535e-110,0.465948,0.250848
8747,2.74564e-110,0.60466,0.250848
8852,2.87144e-110,0.438729,0.250848
8957,3.00301e-110,0.592966,0.250848
9062,3.1406e-110,0.838618,0.250848
9167,3.2845e-110,0.699705,0.250848
9272,3.43499e-110,0.0504546,0.250848
9377,3.59238e-110,0.364764,0.250848
9482,3.75697e-110,0.742041,0.250848
9587,3.92911e-110,0.259543,0.250848
9692,4.10914e-110,0.562189,0.250851
9799,4.30108e-110,0.723659,0.250851
9907,4.50391e-110,0.504273,0.250851
10016,4.71832e-110,0.841803,0.250851
10121,4.93451e-110,0.724966,0.250851
10227,5.16281e-110,0.683736,0.250851
10332,5.39936e-110,0.207387,0.250851
10444,5.66364e-110,0.907553,0.250851
10558,5.94593e-110,0.594516,0.250851
10675,6.22102e-110,0.984773,0.250851
10776,6.56461e-110,0.417801,0.250851
